time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.26,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.078202,0.000000,0.000000,10.994137,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0
0.27,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.075315,0.000000,0.000000,10.993678,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0
0.28,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.072319,0.000000,0.000000,10.993201,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0
0.29,-1187931.423000,-6195239.300000,939813.915100,-486.585615,-94.246531,631.594649,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.069214,0.000000,0.000000,10.992707,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0
0.30,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.066000,0.000000,0.000000,10.992195,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0
0.31,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.062677,0.000000,0.000000,10.991666,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0
0.32,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.059245,0.000000,0.000000,10.991120,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0
0.33,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.055705,0.000000,0.000000,10.990557,0,0,1,0,0,0,0,0,0,0,0,34,0,0,0
0.34,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.052056,0.000000,0.000000,10.989976,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0
0.35,-1187934.887000,-6195257.293000,939876.902800,-486.223849,-92.356560,628.164182,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.048298,0.000000,0.000000,10.989378,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0
